//
ソカベ,曽我部,65685,1
ソカベ,會我部,65686,1
ソガベ,宗我部,65687,1
ソガベ,曾我部,65688,1
ソガベ,曾我辺,65689,1
ソガベ,曽我部,65690,1
ソガベ,曽我辺,65691,1
ソガベ,曹我部,65692,1
ソガミ,宗上,65693,1
ソガミ,曾我美,65694,1
ソガミ,曽我見,65695,1
ソガミ,曽我美,65696,1
ソガミ,祖上,65697,1
ソガメ,十亀,65698,1
ソガメ,曾亀,65699,1
ソガメ,曽亀,65700,1
ソガモト,曽我本,65701,1
ソガヤ,曽谷,65702,1
ソカワ,曽川,65703,1
ソガワ,寒川,65704,1
ソガワ,十河,65705,1
ソガワ,十川,65706,1
ソガワ,曾川,65707,1
ソガワ,曽川,65708,1
ソガワ,祖月輪,65709,1
ソガワ,祖川,65710,1
ソガワ,租川,65711,1
ソガワ,素川,65712,1
ソガワ,蘇川,65713,1
ソガワ,走川,65714,1
ソキ,曽木,65715,1
ソキ,釋,65716,1
ソギ,曾木,65717,1
ソギ,曽祇,65718,1
ソギ,曽木,65719,1
ソギ,枌,65720,1
ソギオ,枌尾,65721,1
ソギオカ,枌岡,65722,1
ソギタニ,枌谷,65723,1
ソギノ,枌野,65724,1
ソギハラ,枌原,65725,1
ソギモト,枌本,65726,1
ソギヤマ,枌山,65727,1
ソク,束,65728,1
ソクオウ,速応,65729,1
ソクオウ,速應,65730,1
ソクオカ,束岡,65731,1
ソクカワ,束川,65732,1
ソクガワ,束河,65733,1
ソクガワ,束川,65734,1
ソクザ,則座,65735,1
ソクサイ,息才,65736,1
ソクサイ,息戈,65737,1
ソクシロ,即城,65738,1
ソクセキ,即席,65739,1
ソクダ,束田,65740,1
ソクドウ,足道,65741,1
ソクナガ,速永,65742,1
ソクノ,息野,65743,1
ゾクマイ,続米,65744,1
ゾクマス,属増,65745,1
ソクラ,曾倉,65746,1
ソクラ,曽倉,65747,1
ソケイ,曾慶,65748,1
ソケイ,曽慶,65749,1
ソケイ,祖慶,65750,1
ソケイ,惣慶,65751,1
ソゲノ,枌野,65752,1
ソケン,祖堅,65753,1
ソコ,底,65754,1
ソゴウ,十河,65755,1
ソゴウ,十合,65756,1
ソゴウ,十川,65757,1
ソゴウ,曾郷,65758,1
ソゴウ,曽郷,65759,1
ソゴウ,楚郷,65760,1
ソコオシ,底押,65761,1
ソゴシ,曾越,65762,1
ソゴシ,曽越,65763,1
ソコタ,底田,65764,1
ソコダ,底田,65765,1
ソコハラ,底原,65766,1
ソコビキ,低引,65767,1
